train_circ_mse_rad_ch,test_circ_mse_rad_ch,train_circ_mse_deg_ch,test_circ_mse_deg_ch,fold,perm,train_circ_mse_rad_sac,train_circ_mse_deg_sac,test_circ_mse_rad_sac,test_circ_mse_deg_sac
3.270668883940168,3.2940966359738173,10736.972580984604,10813.881354127172,0,16,3.0224391802259647,9922.082533370089,3.343102243003414,10974.75727207011
3.2730273357954354,3.2786298895787698,10744.714921711276,10763.107020847488,1,16,3.1176627965332386,10234.683225654688,3.1870671328230147,10462.524221545116
3.278054575500519,3.285446048037143,10761.218376138151,10785.483149117326,2,16,3.150007717709106,10340.865338281454,3.269659722525524,10733.659699484428
3.2751207595334533,3.291436192855377,10751.5872264517,10805.14763456411,3,16,3.047863618084703,10005.546039418234,3.205615536003071,10523.41503728718
3.2766690228436883,3.2988682325863423,10756.669875078032,10829.545581786462,4,16,3.0813582148853036,10115.502314486324,3.3290399258459606,10928.593408009745
3.2758640812421653,3.292096205352383,10754.027407677168,10807.31432778037,0,17,3.1197629195049994,10241.577522682188,3.351706407036529,11003.003076394562
3.2778343484901993,3.2972246157660523,10760.495413510229,10824.149906051829,1,17,3.1147475364735953,10225.112991418953,3.4857782942053075,11443.135118950291
3.2694834030886204,3.2959761705035597,10733.080876917333,10820.051502016478,2,17,3.1006402704447984,10178.801568918318,3.3623883366893277,11038.06978288915
3.273593762612183,3.283948262888447,10746.574391262115,10780.566210520232,3,17,3.0786079401387263,10106.473695083989,3.2315966398938936,10608.705970120289
3.273176530000394,3.2942272406252173,10745.2046973947,10814.310103906128,4,17,3.0603521611476068,10046.543507887529,3.290355540183969,10801.600061112256
3.2774093621116545,3.2867165510080447,10759.100265528077,10789.653964337911,0,18,3.132810798453116,10284.411182547252,3.3182112826261707,10893.045069285807
3.2778252875298683,3.2937163450399964,10760.465668132123,10812.632932634775,1,18,3.0867590134007985,10133.232090148129,3.3094801149528728,10864.382336604887
3.272446131952133,3.300866213193905,10742.806942043831,10836.104565212168,2,18,3.002023198998572,9855.060820555083,3.4679088701114815,11384.473260064027
3.2708909090069938,3.2899486736261148,10737.701446283842,10800.264396992523,3,18,3.0661337639160857,10065.523390169135,3.2901744938792628,10801.00572115352
3.2728493604250914,3.295005461345293,10744.130663035365,10816.864851827702,4,18,3.112283089023578,10217.022687680768,3.3658344883845204,11049.382831557234
3.2746760928704743,3.2733439074879502,10750.127471906839,10745.754165273698,0,19,3.135952995521037,10294.72640703481,3.135587828260985,10293.527633634692
3.274693608979734,3.291842977725475,10750.184973901547,10806.48303051876,1,19,3.1350560458516825,10291.781894964612,3.236981083243118,10626.382054938402
3.2710147751232714,3.3064013871462126,10738.108074756914,10854.275469411225,2,19,3.086040737237613,10130.87412859856,3.4698707049523034,11390.913583937148
3.274638399897756,3.2841698925110396,10750.003733176649,10781.293777652629,3,19,3.106404927552387,10197.725821876747,3.2165845051455735,10559.424038841269
3.2689585185417864,3.296742003560831,10731.357782593952,10822.565583639936,4,19,3.0111227030354053,9884.932730189155,3.3691897621466,11060.397545569418
3.273110926653279,3.2818100726479402,10744.989334310212,10773.546946021159,0,20,3.156811916593438,10363.202205585683,3.2286190176709124,10598.931012978748
